Date OS;Nature de prestation;Service bénéficiaire;Rubrique budgétaire;Fournisseur;type Frs;type de dépense;Montant dépens TTC;Service bénéficiair;type budget(I,F);délai d’exécution;délai réel d’exécution.
07/31/2007 00:00:00;Acquisition du consommable informatique;Direction des moyens generaux;Achat de fournitures informatiques;NAVARA BURO;local;Marché Fournitures;476 160;Direction des moyens generaux;Investissement;2;
04/02/2008 0:00;Fourniture de consommable médical;POLYCLINIQUE AGADIR;Achat de fournitures de bureau;HEMOLAB PHARMA SA;local;Marché Fournitures;174 000;POLYCLINIQUE AGADIR;Investissement;6;
04/02/2008 0:00;Fourniture de consommable médical;POLYCLINIQUE AGADIR;Achat de fournitures de bureau;HEMOLAB PHARMA SA;local;Marché Fournitures;174 000;POLYCLINIQUE AGADIR;Investissement;6;
04/02/2008 0:00;Fourniture de consommable médical;Direction des moyens generaux;Achat de fournitures de bureau;HEMOLAB PHARMA SA;local;Marché Fournitures;174 000;Direction des moyens generaux;Investissement;6;
04/02/2008 0:00;Fourniture de consommable médical;Direction des moyens generaux;Achat de fournitures de bureau;HEMOLAB PHARMA SA;local;Marché Fournitures;174 000;Direction des moyens generaux;Investissement;6;
05/29/2007 00:00:00;Acquisition de fournitures de bureau;Direction de la Stratégie;Achat de fournitures de bureau;IMPRIMERIE EL MAARIF EL JADIDA;local;Marché Fournitures;276 000;Direction de la Stratégie;Investissement;12;
06/16/2008 00:00:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;CARREFOUR TECHNOLOGIE;local;Bon de commandes;5 280;Direction des moyens generaux;Investissement;;
09/10/2008 0:00;Acquisition du consommable informatique et bureautique;Direction des moyens generaux;Achat de fournitures informatiques;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;767 520;Direction des moyens generaux;Investissement;30;
07/23/2008 00:00:00;Acquisition du consommable informatique et bureautique;POLYCLINIQUE AGADIR;Achat de fournitures informatiques;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;836 160;POLYCLINIQUE AGADIR;Investissement;60;
07/23/2008 00:00:00;Acquisition du consommable informatique et bureautique;Direction des moyens generaux;Achat de fournitures informatiques;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;836 160;Direction des moyens generaux;Investissement;60;
10/07/2008 0:00;Acquisition et mise en n'oeuvre d'une  solution informatique;Direction de l'Audit et du Contrôle de Gestion;"Honoraires									";GROUPEMENT TELIO MAROC & INGENIUS;local;Marché Services;2 184 750;Direction de l'Audit et du Contrôle de Gestion;Investissement;12;
08/03/2007 0:00;Acquisition du consommable informatique;Direction des moyens generaux;Achat de fournitures informatiques;MAX CONSOMMABLE;local;Marché Fournitures;168 876;Direction des moyens generaux;Investissement;2;
08/01/2007 0:00;Acquisition du consommable informatique;Ex Siége;Achat de fournitures informatiques;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;367 200;Ex Siége;Investissement;2;
08/29/2007 00:00:00;Acquisition du consommable informatique;Direction régionale CHAOUIA TADLA (DRCT);Achat de fournitures informatiques;XOS MAROC;local;Marché Fournitures;264 360;Direction régionale CHAOUIA TADLA (DRCT);Investissement;2;
08/29/2007 00:00:00;Acquisition du consommable informatique;Direction des moyens generaux;Achat de fournitures informatiques;XOS MAROC;local;Marché Fournitures;264 360;Direction des moyens generaux;Investissement;2;
01/12/2007 0:00;Service;Direction des moyens generaux;"Honoraires									";BDO ASMOUN & ASSOCIES;local;Marché Services;5 940 000;Direction des moyens generaux;Investissement;4;
03/03/2008 0:00;Réception et participation aux manifestations officielles;Direction des moyens generaux;"Réception & participation aux manifestations officielles									";HOTEL ROYAL MANSOUR MERIDIEN;local;Bon de commandes;126 600;Direction des moyens generaux;Investissement;;
05/17/2007 00:00:00;Acquisition de fournitures de bureau;Direction de la Stratégie;Achat de fournitures de bureau;IMPRIMERIE EL AHDAT;local;Marché Fournitures;129 600;Direction de la Stratégie;Investissement;12;
02/25/2008 00:00:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;IMPREMERIE HOCHE;local;Bon de commandes;3 360;Direction des moyens generaux;Investissement;2;
09/10/2008 0:00;Acquisition du consommable informatique et bureautique;Direction des moyens generaux;Achat de fournitures informatiques;DIFFAZUR;local;Marché Fournitures;91 344;Direction des moyens generaux;Investissement;30;
12/29/2008 00:00:00;Acquisition d'équipements informatiques;Direction du Système D'information;Matériel informatique;DESKTOP;local;Marché Travaux;186 480;Direction du Système D'information;Investissement;1;
12/31/2008 00:00:00;Acquisition d'équipements informatiques;Direction du Système D'information;Matériel informatique;TA BURO SARL;local;Marché Travaux;432 000;Direction du Système D'information;Investissement;1;
12/31/2008 00:00:00;Service;Ex Siége;Achat de fournitures de bureau;GROUPEMENT CBI & KPMG;local;Marché Services;3 234 000;Ex Siége;Investissement;20;
12/11/2008 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;TA BURO SARL;local;Marché Fournitures;244 272;Direction des moyens generaux;Investissement;60;
12/11/2008 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;TA BURO SARL;local;Marché Fournitures;244 272;Direction des moyens generaux;Investissement;60;
12/31/2008 00:00:00;Service;Ex Siége;Matériel informatique;GROUPEMENT CBI & KPMG;local;Marché Services;3 234 000;Ex Siége;Investissement;20;
04/11/2008 0:00;Travaux;Ex Siége;Agencements et améganements des agences et des représentations;GECOTRAD;local;Marché Travaux;1 274 316;Ex Siége;Investissement;2;
12/11/2008 0:00;Travaux d'impression;Ex Siége;Achat de fournitures de bureau;IMPRIMERIE EL MAARIF EL JADIDA;local;Marché Travaux;90 720;Ex Siége;Investissement;11;
11/25/2008 00:00:00;Travaux d'impression;Ex Siége;Achat de fournitures de bureau;IMPRIMAHD;local;Marché Travaux;408 000;Ex Siége;Investissement;11;
12/11/2008 0:00;Acquisition de fournitures de bureau;Direction de la Stratégie;Achat de fournitures de bureau;PUBLIDAY MULTIDIA;local;Marché Fournitures;813 408;Direction de la Stratégie;Investissement;1;
11/14/2008 00:00:00;Acquisition du Mobilier de Bureau;Direction des moyens generaux;Mobilier de bureau;SMES;local;Marché Travaux;1 395 468;Direction des moyens generaux;Investissement;2;
10/10/2009 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;BUROPA;local;Marché Fournitures;990 255;Direction des moyens generaux;Investissement;60;
12/11/2008 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;BUROPA;local;Marché Fournitures;990 255;Direction des moyens generaux;Investissement;60;
08/08/2008 0:00;Service;Ex Siége;Immobilisations incorporelles diverses;OUSAAD NEGOCE;local;Marché Services;998 400;Ex Siége;Investissement;1;
12/25/2008 00:00:00;Acquisition d'équipements informatiques;Direction du Système D'information;Matériel informatique;BUREAUTIQUE AL ISMAILIA;local;Marché Travaux;840 960;Direction du Système D'information;Investissement;1;
06/12/2009 0:00;Acquisition d'équipements informatiques;Ex Siége;Achat de fournitures de bureau;IB MAROC.COM;local;Marché Travaux;3 609 246;Ex Siége;Investissement;3;
06/12/2009 0:00;Acquisition d'équipements informatiques;Ex Siége;Matériel informatique;IB MAROC.COM;local;Marché Travaux;3 609 246;Ex Siége;Investissement;3;
12/29/2008 00:00:00;Travaux;Ex Siége;Agencements et améganements des agences et des représentations;GROUPEMENT GECOTRAD ET CHTRAB;local;Marché Travaux;1 030 571;Ex Siége;Investissement;1;
12/31/2008 00:00:00;Acquisition d'équipements informatiques;Direction des moyens generaux;Matériel informatique;MICRO FAST INFORMATIQUE;local;Marché Travaux;444 960;Direction des moyens generaux;Investissement;1;
12/25/2008 00:00:00;Acquisition d'équipements informatiques;Ex Siége;Achat de fournitures informatiques;HR ACCESS SOLUTIONS BV;local;Marché Travaux;828 000;Ex Siége;Investissement;1;
05/12/2008 0:00;Travaux;Ex Siége;Agencements et améganements des agences et des représentations;GECOTRAD;local;Marché Travaux;391 776;Ex Siége;Investissement;90;
12/31/2008 00:00:00;Acquisition d'équipements informatiques;Direction du Système D'information;Matériel informatique;WINCOR NIXDORF;local;Marché Travaux;1 201 200;Direction du Système D'information;Investissement;1;
10/15/2008 00:00:00;Service;Direction des moyens generaux;Immobilisations incorporelles diverses;GROUPEMENT DE SOCIETES ALGOE & I3E CONSULTING;local;Marché Services;4 982 140;Direction des moyens generaux;Investissement;11;
12/11/2008 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;69 390;Direction des moyens generaux;Investissement;60;
12/25/2008 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;DICAPA;local;Marché Fournitures;918 000;Ex Siége;Investissement;1;
10/15/2008 00:00:00;Acquisition du Mobilier de Bureau;Direction des moyens generaux;Mobilier de bureau;ALPHA BUREAU;local;Marché Travaux;448 344;Direction des moyens generaux;Investissement;2;
09/26/2008 00:00:00;Service;Ex Siége;Achat de fournitures de bureau;PUBLIDAY MULTIDIA;local;Marché Services;169 440;Ex Siége;Investissement;30;
05/15/2008 00:00:00;Travaux;Direction des moyens generaux;Agencements et améganements des agences et des représentations;GECOTRAD;local;Marché Travaux;1 058 927;Direction des moyens generaux;Investissement;2;
10/12/2009 0:00;Travaux;Ex Siége;Agencements et améganements des agences et des représentations;ACORA s.a.r.l;local;Marché Travaux;2 051 984;Ex Siége;Investissement;3;
07/26/2010 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;DAR EL KOUNACHE;local;Marché Fournitures;1 075 200;Ex Siége;Investissement;1;
08/05/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST INFORMATIQUE;local;Bon de commandes;168;Ex Siége;Investissement;0;
08/05/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;180;Ex Siége;Investissement;0;
01/25/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;21 120;Ex Siége;Investissement;0;
03/18/2011 00:00:00;Travaux d'impression;Ex Siége;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;67 800;Ex Siége;Investissement;0;
03/30/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;19 673;Ex Siége;Investissement;1;
05/24/2011 00:00:00;Acquisition du consommable informatique et bureautique;Ex Siége;Achat de fournitures informatiques;SOCIETE DIDALI;local;Marché Fournitures;36 000;Ex Siége;Investissement;2;
05/24/2011 00:00:00;Acquisition du consommable informatique et bureautique;Ex Siége;Achat de fournitures informatiques;SOCIETE DIDALI;local;Marché Fournitures;106 320;Ex Siége;Investissement;2;
05/24/2011 00:00:00;Acquisition du consommable informatique et bureautique;Ex Siége;Achat de fournitures informatiques;SOCIETE DIDALI;local;Marché Fournitures;215 160;Ex Siége;Investissement;2;
12/16/2011 00:00:00;Travaux;Siege;Agencements et aménagements des constructions;ENTREPRISE MASROUBI;local;Marché Travaux;2 048 142;Siege;Investissement;6;
10/03/2011 0:00;Travaux;Siege;Agencements et aménagements des constructions;ENTREPRISE MASROUBI;local;Marché Travaux;2 048 142;Siege;Investissement;6;
02/28/2012 00:00:00;Travaux;Siege;Agencements et aménagements des constructions;ENTREPRISE MASROUBI;local;Marché Travaux;2 048 142;Siege;Investissement;6;
06/28/2010 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;MAILEVA MAROC ;local;Marché Fournitures;576 000;Ex Siége;Investissement;2;
05/19/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;11 792;Ex Siége;Investissement;0;
12/31/2010 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;SONACAR;local;Marché Fournitures;392 484;Ex Siége;Investissement;2;
03/07/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";VIVAVERDE SARL;local;Bon de commandes;8 400;Ex Siége;Investissement;0;
01/21/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;8 250;Ex Siége;Investissement;0;
03/18/2011 00:00:00;Réception et participation aux manifestations officielles;Direction Générale;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;13 992;Direction Générale;Investissement;0;
01/25/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;6 750;Ex Siége;Investissement;0;
03/09/2011 0:00;Travaux d'impression;Ex Siége;"Documentation générale									";SPEED'ART;local;Bon de commandes;313 200;Ex Siége;Investissement;0;
04/20/2011 00:00:00;Acquisition du consommable médical;Ex Siége;Achats de fournitures & Consommable médical;COMELAB;local;Bon de commandes;175 741;Ex Siége;Investissement;0;
04/20/2011 00:00:00;Acquisition du consommable médical;Ex Siége;Achats de fournitures & Consommable médical;COMELAB;local;Bon de commandes;152 777;Ex Siége;Investissement;0;
07/06/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;5 364;Ex Siége;Investissement;0;
06/17/2011 00:00:00;Installations techniques, Matériel et Outillage;Ex Siége;"Réception & participation aux manifestations officielles									";HOTEL IDOU ANFA;local;Bon de commandes;9 860;Ex Siége;Investissement;0;
05/05/2011 0:00;Acquisition du Matériels de Bureau;Ex Siége;Matériel informatique;UNIVERS DIGITAL;local;Bon de commandes;44 870;Ex Siége;Investissement;0;
06/06/2011 0:00;Acquisition du consommable informatique et bureautique;Ex Siége;Achat de fournitures informatiques;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;10 320;Ex Siége;Investissement;2;
07/06/2011 0:00;Travaux;Ex Siége;Agencements et aménagements des constructions;NEW BINAA SARL;local;Marché Travaux;545 280;Ex Siége;Investissement;4;
03/30/2011 00:00:00;Travaux;Ex Siége;Agencements et améganements des agences et des représentations;U.S.P;local;Marché Travaux;557 459;Ex Siége;Investissement;4;
03/30/2011 00:00:00;Travaux;Ex Siége;Agencements et améganements des agences et des représentations;U.S.P;local;Marché Travaux;557 459;Ex Siége;Investissement;4;
05/31/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;DAR EL KOUNACHE;local;Bon de commandes;132 000;Ex Siége;Investissement;0;
06/22/2011 00:00:00;Acquisition de fournitures électriques;Ex Siége;Agencements et aménagements des constructions;vatec;local;Bon de commandes;77 616;Ex Siége;Investissement;0;
07/04/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";HOTEL IDOU ANFA;local;Bon de commandes;8 500;Ex Siége;Investissement;0;
08/17/2011 00:00:00;Acquisition du Matériels de Bureau;Ex Siége;Matériel de bureau;MOGESSE;local;Bon de commandes;75 600;Ex Siége;Investissement;0;
05/27/2011 00:00:00;Acquisition du consommable bureautique;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;168;Ex Siége;Investissement;0;
05/05/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;DICAPA;local;Marché Fournitures;617 820;Ex Siége;Investissement;2;
05/05/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;SIFEB;local;Marché Fournitures;38 976;Ex Siége;Investissement;0;
03/07/2011 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;PAPETERIE MOURAI;local;Bon de commandes;1 248;Direction des moyens generaux;Investissement;1;
05/26/2011 00:00:00;Acquisition de fournitures sanitaires;Ex Siége;Autres mobiliers, mat.de bureau et aménagements divers;SOCIETE CIEP ;local;Bon de commandes;187 612;Ex Siége;Investissement;0;
06/27/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;SECURITY DOCUMENTS AND EDITION;local;Bon de commandes;35 280;Ex Siége;Investissement;0;
04/21/2011 00:00:00;Travaux;Ex Siége;Agencements et aménagements des constructions;ACORA s.a.r.l;local;Bon de commandes;85 210;Ex Siége;Investissement;0;
07/19/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;84;Ex Siége;Investissement;0;
05/16/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;246;Ex Siége;Investissement;0;
07/11/2011 0:00;Acquisition de fournitures électriques;Ex Siége;"Entretien et réparations des biens immobiliers									";AMEHACHE ELEC;local;Bon de commandes;95 160;Ex Siége;Investissement;0;
09/02/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;18 875;Ex Siége;Investissement;0;
03/02/2011 0:00;Réception et participation aux manifestations officielles;Direction des moyens generaux;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;20 102;Direction des moyens generaux;Investissement;1;
12/30/2010 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;20 117;Ex Siége;Investissement;0;
07/05/2010 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;BUROPA;local;Marché Fournitures;776 400;Ex Siége;Investissement;1;
01/20/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;4 032;Ex Siége;Investissement;0;
01/25/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
06/21/2011 00:00:00;Acquisition du consommable informatique;Ex Siége;Achat de fournitures informatiques;SOCIETE DIDALI;local;Bon de commandes;132 000;Ex Siége;Investissement;0;
11/03/2011 0:00;Service;Ex Siége;"Honoraires									";LMS FORMATION SARL;local;Marché Services;54 600;Ex Siége;Investissement;1;
12/07/2011 0:00;Maintenance;Ex Siége;"Maintenance des agencements & installations techniques									";JBL ELECTRONICS;local;Marché Services;72 000;Ex Siége;Investissement;1;
06/05/2012 0:00;Maintenance;Ex Siége;"Maintenance des agencements & installations techniques									";JBL ELECTRONICS;local;Marché Services;72 000;Ex Siége;Investissement;1;
12/13/2011 00:00:00;Maintenance;Ex Siége;"Maintenance des agencements & installations techniques									";SCHNEIDER ELECTRIC IT MOROCCO;local;Marché Services;139 680;Ex Siége;Investissement;1;
02/08/2012 0:00;Maintenance;Ex Siége;"Maintenance des agencements & installations techniques									";ELECTRICITE ET POMPAGE TECHNOLOGIE;local;Marché Services;118 080;Ex Siége;Investissement;1;
12/07/2011 0:00;Maintenance;Ex Siége;"Maintenance des agencements & installations techniques									";JBL ELECTRONICS;local;Marché Services;87 120;Ex Siége;Investissement;1;
12/09/2011 0:00;Maintenance;Ex Siége;"Maintenance des agencements & installations techniques									";VENTEC MAROC;local;Marché Services;204 000;Ex Siége;Investissement;1;
04/25/2011 00:00:00;Acquisition du Mobilier de Bureau;Ex Siége;Mobilier de bureau;TRAREM AFRIQUE SA;local;Marché Fournitures;533 821;Ex Siége;Investissement;2;
12/15/2011 00:00:00;Acquisition du Mobilier de Bureau;Ex Siége;Mobilier de bureau;MAROC BUREAU;local;Marché Fournitures;919 116;Ex Siége;Investissement;0;
09/16/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;336;Ex Siége;Investissement;0;
02/02/2012 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;3 387;Ex Siége;Investissement;0;
12/16/2011 00:00:00;Service;Ex Siége;"Réception & participation aux manifestations officielles									";RESTAURANT LA FIBULE;local;Bon de commandes;2 340;Ex Siége;Investissement;0;
12/15/2011 00:00:00;Service;Ex Siége;"Réception & participation aux manifestations officielles									";HOTEL FARAH CASABLANCA;local;Bon de commandes;14 977;Ex Siége;Investissement;0;
01/03/2012 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;3 518;Ex Siége;Investissement;0;
10/05/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;3 581;Ex Siége;Investissement;1;
08/30/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;Achats de fournitures & Consommable médical;EL ASRY BRAHIM;local;Bon de commandes;3 010;Ex Siége;Investissement;1;
08/30/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;3 010;Ex Siége;Investissement;1;
09/02/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;2 882;Ex Siége;Investissement;1;
07/22/2011 00:00:00;Acquisition de fournitures de bureau;EX (Direction Régionale Rabat Kenitra);Achat de fournitures de bureau;PROBATECH;local;Bon de commandes;206 304;EX (Direction Régionale Rabat Kenitra);Investissement;0;
09/30/2011 00:00:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;3 744;Ex Siége;Investissement;0;
12/29/2011 00:00:00;Service;Ex Siége;"Assurances multirisques (vol, incendie, responsabilité civil¿)									";GRAS SAVOYE;local;Marché Services;364 800;Ex Siége;Investissement;1 096;
10/17/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;264;Ex Siége;Investissement;0;
06/10/2011 0:00;SOLUTION INFORMATIQUE;Ex Siége;Matériel informatique;ARES Maroc;local;Marché Fournitures;998 818;Ex Siége;Investissement;2;
02/16/2012 00:00:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									";HOTEL BEL AIR;local;Bon de commandes;2 500;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
12/25/2011 00:00:00;Réparation;EX (Direction Régionale Tadla Chaouia Ourdigha);"Entretien et réparations des biens immobiliers									"; STE INFOMED TECH;local;Bon de commandes;1 296;EX (Direction Régionale Tadla Chaouia Ourdigha);Investissement;1;
12/19/2011 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;23 800;Siege;Investissement;0;
01/16/2012 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;23 800;Siege;Investissement;0;
01/16/2012 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;23 800;Siege;Investissement;0;
01/02/2012 0:00;documentation générale;Direction des achats et de la logistique (DAL);"Documentation générale									";PAPETERIE MOURAI;local;Bon de commandes;18 045;Direction des achats et de la logistique (DAL);Investissement;0;
