,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
30,13/2012,2012,2012-02-24 00:00:00,Documentation générale									,Engagement,1195.0,LIBRAIRIE EL RAZI SETTAT,Bon de commandes,documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
31,452/2011,2011,2012-01-03 00:00:00,Mobilier de bureau,Engagement,990387.6,HWM MAROC SARL,Marché Fournitures,Acquisition du Mobilier de Bureau,Ex Siége,Investissement
32,612/2011,2011,2012-04-04 00:00:00,Formation									,Engagement,14000.0,ECOLE SUPERIEURE DE TECHNOLOGIE,Bon de commandes,Formation,Ex Siége,Investissement
33,595/2011,2011,2012-03-21 00:00:00,Voyage et déplacement									,Engagement,3332.0,MONARCH TRAVEL,Bon de commandes,Service,Siege,Investissement
34,303/2012,2012,2012-03-28 00:00:00,Achat de fournitures de bureau,Engagement,432.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
35,319/2012,2012,2012-03-29 00:00:00,Achat de fournitures de bureau,Engagement,1020.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
36,575/2012,2012,2012-05-04 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,981.19,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
37,274/2012/94100,2012,2012-05-15 00:00:00,Achat de fournitures de bureau,Engagement,10080.0,WORLD VIDEO DISTRIBUTION,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale FES-SAISS (DRFS),Investissement
38,795/2012,2012,2012-05-16 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1100.0,PRIMAPHOT,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
39,768/2011,2011,2012-05-17 00:00:00,Autres immobilisations incorporelles,Engagement,1757400.0,K.P.M.G,Marché Services,Service,Ex Siége,Investissement
40,551/2012,2012,2012-05-03 00:00:00,Formation									,Engagement,12000.0,FINATECH GROUP,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
41,407/2012,2012,2012-04-10 00:00:00,Réception & participation aux manifestations officielles									,Engagement,9600.0,LAGLYAL HASSAN FLEURISTE,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
42,614/2011,2011,2012-04-04 00:00:00,Formation									,Engagement,14000.0,ECOLE SUPERIEURE DE TECHNOLOGIE,Bon de commandes,Formation,Ex Siége,Investissement
43,1037/2012,2012,2012-06-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,858.12,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
44,578/2012,2012,2012-05-04 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,766.02,GLOBAL-ENGINES,Bon de commandes,Réparation,Siege,Investissement
45,869/2012,2012,2012-05-22 00:00:00,Réception & participation aux manifestations officielles									,Engagement,600.0, STE BUREAUTIQUE FARIRE,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
46,829/2012,2012,2012-05-17 00:00:00,Achat de fournitures de bureau,Engagement,59064.0,MAPAMA,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
47,589/2012,2012,2012-05-07 00:00:00,Réception & participation aux manifestations officielles									,Engagement,23976.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
48,619/2012,2012,2012-05-08 00:00:00,Achat de fournitures de bureau,Engagement,46080.0, STE BUREAUTIQUE FARIRE,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
49,775/2011,2011,2012-05-28 00:00:00,Mobilier de bureau,Engagement,27480.0,MOGESSE,Bon de commandes,Acquisition du Mobilier de Bureau,Ex Siége,Investissement
50,872/2012,2012,2012-05-23 00:00:00,Réception & participation aux manifestations officielles									,Engagement,75340.0,DOS,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
51,1009/2012,2012,2012-06-01 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2683.2,ELMINZAH HOTEL,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
52,891/2012,2012,2012-05-24 00:00:00,Formation									,Engagement,4200.0,AUDIT CONSEIL FORMATION,Bon de commandes,Formation,Siege,Investissement
53,1082/2012,2012,2012-06-12 00:00:00,Réception & participation aux manifestations officielles									,Engagement,23976.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
54,1512/2012,2012,2012-07-18 00:00:00,Achat de fournitures de bureau,Engagement,730.0, STE BUREAUTIQUE FARIRE,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
55,798/2011,2011,2012-06-26 00:00:00,Mobilier de bureau,Engagement,532634.4,MAROC BUREAU,Marché Fournitures,Acquisition du Mobilier de Bureau,Ex Siége,Investissement
56,29/2012/9310*,2012,2012-06-29 00:00:00,Réception & participation aux manifestations officielles									,Engagement,990.0, STE AFRAH BENLAFKIH,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
57,BC37/2012/9310,2012,2012-08-09 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1440.0,BURINTEL S.A.R.L,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
58,2061/2012,2012,2012-09-21 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3517.6,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
59,1966/2012,2012,2012-09-19 00:00:00,Agencements et aménagements des constructions,Engagement,55675.2,concept,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
60,2088/2012,2012,2012-09-24 00:00:00,Réception & participation aux manifestations officielles									,Engagement,16830.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
61,1714/2012,2012,2012-08-03 00:00:00,Réception & participation aux manifestations officielles									,Engagement,12760.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
62,1715/2012,2012,2012-08-03 00:00:00,Réception & participation aux manifestations officielles									,Engagement,11440.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
63,1729/2012,2012,2012-08-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2197.2,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
64,1734/2012,2012,2012-08-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3061.22,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
65,402/2012/94100,2012,2012-07-27 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,9777.6,STE BENMASSAOUD,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale FES-SAISS (DRFS),Investissement
66,1745/2012,2012,2012-08-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1094.38,GLOBAL-ENGINES,Bon de commandes,Réparation,Siege,Investissement
67,2383/2012,2012,2012-10-11 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,73290.0,EST OUEST PIECES AUTO,Bon de commandes,Réparation,Siege,Investissement
68,42/2012/9310,2012,2012-09-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1551.0, STE AFRAH BENLAFKIH,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
69,808/2011,2011,2012-10-09 00:00:00,Agencements et améganements des agences et des représentations,Engagement,1061727.0,ZOULITRAD,Marché Travaux,Travaux,Ex Siége,Investissement
70,2456/2012,2012,2012-10-16 00:00:00,Achat de fournitures de bureau,Engagement,57.0,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
71,2471/2012,2012,2012-10-17 00:00:00,Achat de fournitures de bureau,Engagement,733.2,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
72,2569/2012,2012,2012-10-25 00:00:00,Achat de fournitures de bureau,Engagement,2920.2,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
73,2477/2012,2012,2012-10-17 00:00:00,Achat de fournitures de bureau,Engagement,911.4,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
74,2501/2012,2012,2012-10-19 00:00:00,Achat de fournitures de bureau,Engagement,16800.0,ALFA PUB  ,Bon de commandes,Acquisition du consommable bureautique,Siege,Investissement
75,2337/2012,2012,2012-10-08 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3603.44,CENTRALE AUTOMOBILE CHERIFIENNE,Bon de commandes,Réparation,Siege,Investissement
76,2229/2012,2012,2012-10-02 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,8950.08,CBI,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
77,2119/2012,2012,2012-09-25 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2970.0,TRAITEUR EL FARISSI,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale TANGER TETOUAN (DRTT),Investissement
78,2759/2012,2012,2012-11-08 00:00:00,Réception & participation aux manifestations officielles									,Engagement,23976.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
79,2806/2012,2012,2012-11-13 00:00:00,Matériel de transport,Engagement,3928800.0,ITALCAR,Marché Fournitures,Travaux de transport,Siege,Investissement
80,2805/2012,2012,2012-11-13 00:00:00,Autres immobilisations incorporelles,Engagement,411000.0,ARCHOS TECHNOLOGY,Marché Services,SOLUTION INFORMATIQUE,Siege,Investissement
81,3341/2012,2012,2012-12-10 00:00:00,Missions									,Engagement,7780.0,ICO TOURS INTERNATIONAL,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
82,722/2012/94100,2012,2012-12-04 00:00:00,Achat de fournitures de bureau,Engagement,6912.0,FINATECH GROUP,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale FES-SAISS (DRFS),Investissement
83,3285/2012,2012,2012-12-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2095.2, STE BUREAUTIQUE FARIRE,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
84,3111/2012,2012,2012-11-28 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3256.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
85,3245/2012,2012,2012-12-04 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,4394.73,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
86,3012/2012,2012,2012-11-21 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,5160.0,BURINTEL S.A.R.L,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
87,3050/2012,2012,2012-11-26 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,500.0,NAVARA BURO,Marché Fournitures,Acquisition du consommable informatique,Direction des moyens generaux,Investissement
88,3055/2012,2012,2012-11-26 00:00:00,Droits d'enregistrements et de timbres									,Engagement,500.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition du consommable informatique,Ex Siége,Investissement
89,3055/2012,2012,2012-11-26 00:00:00,Frais postaux									,Engagement,500.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition du consommable informatique,Ex Siége,Investissement
90,3316/2012,2012,2012-12-07 00:00:00,Matériel et outillage,Engagement,25440.0,STAFF BUREAU,Bon de commandes,Acquisition du Matériels de Bureau,Siege,Investissement
91,3319/2012,2012,2012-12-07 00:00:00,Missions									,Engagement,19200.0,ICO TOURS INTERNATIONAL,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
92,3380/2012,2012,2012-12-11 00:00:00,Réception & participation aux manifestations officielles									,Engagement,6600.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
93,3379/2012,2012,2012-12-11 00:00:00,Maintenance des agencements & installations techniques									,Engagement,7320.0,STE NESSELEC SARL,Bon de commandes,Maintenance,Direction régionale CHAOUIA TADLA (DRCT),Investissement
94,3385/2012,2012,2012-12-11 00:00:00,Agencements et améganements des agences et des représentations,Engagement,355296.0,BUILCO,Bon de commandes,Travaux,Siege,Investissement
95,3090/2012,2012,2012-11-27 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,4737.85,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
96,3350/2012,2012,2012-12-10 00:00:00,Achat de fournitures de bureau,Engagement,193.2,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
97,3670/2012,2012,2012-12-31 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,500.0,CARREFOUR TECHNOLOGIE,Bon de commandes,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
98,3671/2012,2012,2012-12-31 00:00:00,"Achats de travaux, études et prestations de service",Engagement,800.0,SODIFMAB,Bon de commandes,Réparation,Direction des moyens generaux,Investissement
99,3680/2012,2012,2013-01-02 00:00:00,Formation									,Engagement,1800.0,ICC MAROC SERVICE,Bon de commandes,Formation,Siege,Investissement
100,3452/2012,2012,2012-12-17 00:00:00,Achat de fournitures de bureau,Engagement,327.6,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
101,771/2012/94100,2012,2012-12-20 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,5470.0,EL MOKHTRIOUI M'HAMED,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale FES-SAISS (DRFS),Investissement
102,1983/2013,2013,2013-07-19 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
103,1985/2013,2013,2013-07-19 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
104,1763/2013,2013,2013-07-04 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
105,1789/2013,2013,2013-07-08 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
106,770/2012/94100,2012,2012-12-20 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,6324.0,STE COTRADINA,Bon de commandes,Maintenance,Direction régionale FES-SAISS (DRFS),Investissement
107,3567/2012,2012,2012-12-24 00:00:00,Frais postaux									,Engagement,1000.0,BARID AL MAGHRIB,Bon de commandes,Service,Direction régionale CHAOUIA TADLA (DRCT),Investissement
108,3445/2012,2012,2012-12-17 00:00:00,Achat de fournitures de bureau,Engagement,312.0,IMPRIMERIE ETOILE D'OR,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
109,3548/2012,2012,2012-12-24 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3009.1,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
110,2433/2013,2013,2013-09-06 00:00:00,Agencements et aménagements des constructions,Engagement,1982220.0,TIMAL,Marché Travaux,Service,Siege,Investissement
111,52/2013/9310,2013,2013-11-22 00:00:00,Agencements et aménagements des constructions,Engagement,44592.0,ENTREPRISE MESHALI,Bon de commandes,Travaux,Direction régionale CHAOUIA TADLA (DRCT),Investissement
112,4703/2013,2013,2013-10-29 00:00:00,"Achats de travaux, études et prestations de service",Engagement,780900.0,DIORH,Marché Services,Service,Siege,Investissement
113,2596/2013,2013,2013-09-24 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3690.2,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
114,3339/2013,2013,2013-11-13 00:00:00,Voyage et déplacement									,Engagement,3224.0,ICO TOURS INTERNATIONAL,Bon de commandes,Voyages et déplacement,Siege,Investissement
115,2462/2013,2013,2013-09-11 00:00:00,Maintenance des agencements & installations techniques									,Engagement,449860.8,INDRA,Marché Services,Logiciel,Siege,Investissement
116,3386/2013,2013,2013-11-13 00:00:00,Achat de fournitures de bureau,Engagement,371.52,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
117,3604/2013,2013,2013-11-22 00:00:00,Achat de fournitures de bureau,Engagement,61.92,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
118,4334/2012,2012,2013-08-12 00:00:00,"Achats de travaux, études et prestations de service",Engagement,2325600.0,HORWATH MAROC AUDIT,Marché Services,Service,Siege,Investissement
119,622/2013/94100,2013,2013-11-15 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,7200.0,HAMZACLIM,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale FES-SAISS (DRFS),Investissement
120,4355/2012,2012,2013-10-29 00:00:00,Achat de fournitures de bureau,Engagement,16380.0,MAILEVA MAROC ,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
121,3065/2013,2013,2013-10-29 00:00:00,Formation									,Engagement,222000.0,FORINFO,Marché Services,Formation,Siege,Investissement
122,3069/2013,2013,2013-10-30 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3386.8,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
123,53/2013/9310,2013,2013-11-22 00:00:00,"Agencements, techniques et aménagements divers",Engagement,35520.0,STE GEOBATICO SARL,Bon de commandes,Travaux,Direction régionale CHAOUIA TADLA (DRCT),Investissement
124,2893/2013,2013,2013-10-11 00:00:00,Achat de fournitures de bureau,Engagement,396.0,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
125,3203/2013,2013,2013-11-07 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2704.8,SCHIP,Bon de commandes,Entretien et réparations des biens immobiliers ,Siege,Investissement
126,3710/2013,2013,2013-11-29 00:00:00,Maintenance des agencements & installations techniques									,Engagement,132000.0,CORPORATE SOFTWARE,Marché Services,Service,Siege,Investissement
127,4058/2013,2013,2013-12-19 00:00:00,Voyage et déplacement									,Engagement,2132.0,ICO TOURS INTERNATIONAL,Bon de commandes,Voyages et déplacement,Siege,Investissement
128,2469/2013,2013,2013-09-11 00:00:00,Achat de fournitures de bureau,Engagement,212000.0,IMPRIMERIE PAPETERIE NEGOCE KARAWYINE (IPNK) ,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
129,3932/2013,2013,2013-12-12 00:00:00,Matériel et outillage,Engagement,49080.0,COMPUTER MORROCO SOLUTION ,Bon de commandes,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
130,2516/2013,2013,2013-09-18 00:00:00,Achat de fournitures de bureau,Engagement,1129.44,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
131,2677/2013,2013,2013-09-30 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1042.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
132,2886/2013,2013,2013-10-11 00:00:00,Réception & participation aux manifestations officielles									,Engagement,5170.0, STE AFRAH BENLAFKIH,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
133,2220/2013,2013,2013-08-26 00:00:00,Matériel informatique,Engagement,268200.0,DATAPLUS,Marché Fournitures,Acquisition de Matériel informatique,Siege,Investissement
134,4315/2012,2012,2013-06-07 00:00:00,Réception & participation aux manifestations officielles									,Engagement,12760.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
135,3830/2013,2013,2013-12-09 00:00:00,Maintenance des agencements & installations techniques									,Engagement,4620.0,WORLD VIDEO DISTRIBUTION,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
136,4021/2012,2012,2013-02-08 00:00:00,Honoraires									,Engagement,145200.0,IFG STRATEGIE ET MANAGEMENT ,Marché Services,Service,Siege,Investissement
137,296/2013,2013,2013-02-28 00:00:00,Achat de fournitures de bureau,Engagement,558.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
138,3760/2013,2013,2013-12-04 00:00:00,Voyage et déplacement									,Engagement,4264.0,ICO TOURS INTERNATIONAL,Bon de commandes,Voyages et déplacement,Siege,Investissement
139,160/2013,2013,2013-02-14 00:00:00,Achat de fournitures de bureau,Engagement,1006.8,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
140,59/2013,2013,2013-01-28 00:00:00,Formation									,Engagement,23800.0,FACULTE DES SCIENCES ECONOMIQUES JURIDIQUES ET SOCIALES,Bon de commandes,Formation,Siege,Investissement
141,723/2013,2013,2013-04-08 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,518.4,CBI,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
142,4238/2012,2012,2013-04-12 00:00:00,Formation									,Engagement,353160.0,GROUPE MATRIX INFO,Marché Services,Formation,Siege,Investissement
143,106/2013,2013,2013-02-01 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3386.8,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
144,492/2013,2013,2013-03-21 00:00:00,Achat de fournitures de bureau,Engagement,964.8,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
